the_url,time,title
http://www.kidscode.cn/archives/6559,2018-10-18 17:36,怎么用手机编写Python
http://www.kidscode.cn/archives/6747,2018-11-27 22:06,Python基础练习实例41(两个变量互换)
http://www.kidscode.cn/archives/6720,2018-11-21 18:02,Python基础练习实例40(矩阵相加)
http://www.kidscode.cn/archives/6784,2018-12-07 23:09,Python基础练习实例42（按位与运算)
http://www.kidscode.cn/archives/6829,2018-12-19 22:12,Python基础练习实例43（找水仙花数)
http://www.kidscode.cn/archives/6826,2018-12-16 20:22,Python基础练习实例42（按位或|运算)
http://www.kidscode.cn/archives/6875,2018-12-30 20:56,Python基础练习实例45（使用异或交换两个数)
http://www.kidscode.cn/archives/6842,2018-12-24 18:00,Python基础练习实例44（按位&运算的实际应用)
http://www.kidscode.cn/archives/6928,2019-01-18 21:39,Python基础练习实例47（变换符号，位运算实际应用)
http://www.kidscode.cn/archives/6922,2019-01-14 22:00,Python基础练习实例46（查询价格）
http://www.kidscode.cn/archives/7041,2019-02-18 22:35,Python基础练习实例48（计算绝对值，位运算实际应用)
http://www.kidscode.cn/archives/6720,2018-11-21 18:02,Python基础练习实例40(矩阵相加)
http://www.kidscode.cn/archives/3392,2016-04-22 13:16,《与孩子一起学编程》小结之变量命名规则
http://www.kidscode.cn/archives/3987,2016-10-19 21:33,一行代码能实现如此酷的效果，小朋友干嘛还想去做病毒呢
http://www.kidscode.cn/archives/3210,2016-03-29 16:31,《与孩子一起学编程》第24章计算机仿真之Lunar Lander
http://www.kidscode.cn/archives/6449,2018-09-05 22:01,Python基础练习实例30（检测回文数）
http://www.kidscode.cn/archives/2329,2015-12-03 14:04,《与孩子一起学编程》第15章模块之标准模块
http://www.kidscode.cn/archives/1522,2015-06-16 11:00,《与孩子一起学编程》第五章输入之Print 命令和逗号
http://www.kidscode.cn/archives/6208,2018-07-27 22:39,Python基础练习实例20（弹球问题）
http://www.kidscode.cn/archives/2765,2016-01-26 13:01,《与孩子一起学编程》第19章声音之为PyPong添加音乐
http://www.kidscode.cn/archives/2047,2015-10-23 13:58,《与孩子一起学编程》第12章收集起来-列表之可改变和不可改变
http://www.kidscode.cn/archives/1589,2015-07-02 11:29,《与孩子一起学编程》第七章判断再判断之测试，测试
http://www.kidscode.cn/archives/6559,2018-10-18 17:36,怎么用手机编写Python
http://www.kidscode.cn/archives/1689,2015-07-30 22:04,《与孩子一起学编程》第八章之使用计数循环
http://www.kidscode.cn/archives/2730,2016-01-24 20:46,《与孩子一起学编程》第19章声音之更多声音
http://www.kidscode.cn/archives/1896,2015-09-24 21:23,《与孩子一起学编程》第12章收集起来-列表之从列表获取元素
http://www.kidscode.cn/archives/1903,2015-09-26 16:59,《与孩子一起学编程》第12章收集起来-列表之列表“分片”
http://www.kidscode.cn/archives/1890,2015-09-22 21:31,《与孩子一起学编程》第12章收集起来-列表之这个点是什么
http://www.kidscode.cn/archives/1883,2015-09-21 22:09,《与孩子一起学编程》第12章收集起来-列表之向列表增加元素
http://www.kidscode.cn/archives/1923,2015-09-30 20:59,《与孩子一起学编程》第12章收集起来-列表之修改元素
http://www.kidscode.cn/archives/1619,2015-07-12 22:36,《与孩子一起学编程》第七章判断再判断之是不是有问题
http://www.kidscode.cn/archives/1971,2015-10-15 20:34,《与孩子一起学编程》第12章收集起来-列表之循环处理列表
http://www.kidscode.cn/archives/2033,2015-10-22 18:21,《与孩子一起学编程》第12章收集起来-列表之列表排序
http://www.kidscode.cn/archives/1702,2015-08-04 21:58,《与孩子一起学编程》第八章之一条捷径--range()
http://www.kidscode.cn/archives/1929,2015-10-08 22:33,《与孩子一起学编程》第12章收集起来-列表之向列表增加元素的其他方法
http://www.kidscode.cn/archives/1954,2015-10-13 21:48,《与孩子一起学编程》第12章收集起来-列表之搜索列表
http://www.kidscode.cn/archives/1596,2015-07-03 13:25,《与孩子一起学编程》第七章判断再判断之缩进
http://www.kidscode.cn/archives/1724,2015-08-07 16:43,《与孩子一起学编程》第八章之没有数字的计数
http://www.kidscode.cn/archives/1728,2015-08-10 14:32,《与孩子一起学编程》第八章之关于这个问题
http://www.kidscode.cn/archives/2222,2015-11-19 13:33,《与孩子一起学编程》第14章对象之创建对象
http://www.kidscode.cn/archives/1717,2015-08-06 22:16,《与孩子一起学编程》第八章之按步长计数
http://www.kidscode.cn/archives/2208,,
http://www.kidscode.cn/archives/2250,2015-11-20 22:35,《与孩子一起学编程》第14章对象之一个示例类---HotDog
http://www.kidscode.cn/archives/2213,2015-11-13 13:25,《与孩子一起学编程》第14章对象之对象=属性+方法
http://www.kidscode.cn/archives/1710,2015-08-05 21:55,《与孩子一起学编程》第八章之风格问题--循环变量名
http://www.kidscode.cn/archives/2265,2015-11-22 21:30,《与孩子一起学编程》第14章对象之隐藏数据
http://www.kidscode.cn/archives/1732,2015-08-11 11:11,《与孩子一起学编程》第八章之跳出循环--break和continue
http://www.kidscode.cn/archives/2294,2015-11-27 13:09,《与孩子一起学编程》第15章模块之什么是模块
http://www.kidscode.cn/archives/2322,2015-12-01 13:29,《与孩子一起学编程》第15章模块之命名空间
